Eric Bodden R1
Karim Ali R2
Andrea Arcuri R3
Mauro Baluda R4
Earl Barr R5
Lionel Briand R6
Tevfik Bultan R7
Cristian Cadar R8
Julian Dolby R9
Martin Johns R10
Sarfraz Khurshid R11
Moonzoo Kim R12
Jacques Klein R13
Yang Liu R14
Sasa Misailovic R15
Anders Møller R16
Alessandro Orso R17
Corina Pasareanu R18
Gregg Rothermel R19
Cindy Rubio-Gonzalez R20
Yannis Smaragdakis R21
Kathryn Stolee R22
Paolo Tonella R23
Omer Tripp R24
Willem Visser R25
Jingling Xue R26
Andreas Zeller R27
Thomas Zimmermann R28
